School Year,State,NCES LEA ID,LEA,School,NCES SCH ID,Data Group,Data Description,Value,Denominator,Numerator,Population,Subgroup,Characteristics,Age/Grade,Academic Subject,Program Type,Outcome
2010-2011,OREGON,4110710,Douglas County SD 4,,,583,Mathematics,60,3267,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4110710,Douglas County SD 4,,,584,Reading/Language Arts,82,3313,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4104380,Drewsey SD 13,,,583,Mathematics,GE50,7,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4104380,Drewsey SD 13,,,584,Reading/Language Arts,GE50,7,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4104410,Dufur SD 29,,,583,Mathematics,55-59,143,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4104410,Dufur SD 29,,,584,Reading/Language Arts,80-84,143,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4104500,Eagle Point SD 9,,,583,Mathematics,46,2255,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4104500,Eagle Point SD 9,,,584,Reading/Language Arts,73,2246,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4104530,Echo SD 5,,,583,Mathematics,25-29,132,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4104530,Echo SD 5,,,584,Reading/Language Arts,75-79,133,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4104590,Elgin SD 23,,,583,Mathematics,30-34,188,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4104590,Elgin SD 23,,,584,Reading/Language Arts,75-79,188,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4104620,Elkton SD 34,,,583,Mathematics,60-64,138,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4104620,Elkton SD 34,,,584,Reading/Language Arts,75-79,138,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4105080,Enterprise SD 21,,,583,Mathematics,71,202,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4105080,Enterprise SD 21,,,584,Reading/Language Arts,89,202,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4104700,Estacada SD 108,,,583,Mathematics,53,1296,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4104700,Estacada SD 108,,,584,Reading/Language Arts,78,1301,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4104740,Eugene SD 4J,,,583,Mathematics,69,8981,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4104740,Eugene SD 4J,,,584,Reading/Language Arts,86,8989,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4100003,Falls City SD 57,,,583,Mathematics,35-39,89,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4100003,Falls City SD 57,,,584,Reading/Language Arts,65-69,89,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4104950,Fern Ridge SD 28J,,,583,Mathematics,53,885,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4104950,Fern Ridge SD 28J,,,584,Reading/Language Arts,79,886,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4105160,Forest Grove SD 15,,,583,Mathematics,61,3273,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4105160,Forest Grove SD 15,,,584,Reading/Language Arts,77,3257,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4105250,Fossil SD 21J,,,583,Mathematics,50-54,76,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4105250,Fossil SD 21J,,,584,Reading/Language Arts,80-84,76,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4105310,Frenchglen SD 16,,,583,Mathematics,GE50,8,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4105310,Frenchglen SD 16,,,584,Reading/Language Arts,GE50,8,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4105430,Gaston SD 511J,,,583,Mathematics,60,242,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4105430,Gaston SD 511J,,,584,Reading/Language Arts,86,244,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4100015,Gervais SD 1,,,583,Mathematics,50,588,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4100015,Gervais SD 1,,,584,Reading/Language Arts,69,581,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4105610,Gladstone SD 115,,,583,Mathematics,65,1154,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4105610,Gladstone SD 115,,,584,Reading/Language Arts,83,1159,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4105640,Glendale SD 77,,,583,Mathematics,32,201,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4105640,Glendale SD 77,,,584,Reading/Language Arts,63,201,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4105670,Glide SD 12,,,583,Mathematics,61,375,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4105670,Glide SD 12,,,584,Reading/Language Arts,85,374,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4105910,Grants Pass SD 7,,,583,Mathematics,66,3013,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4105910,Grants Pass SD 7,,,584,Reading/Language Arts,88,3021,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4101120,Greater Albany Public SD 8J,,,583,Mathematics,57,4893,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4101120,Greater Albany Public SD 8J,,,584,Reading/Language Arts,79,4881,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4106000,Gresham-Barlow SD 10J,,,583,Mathematics,60,6529,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4106000,Gresham-Barlow SD 10J,,,584,Reading/Language Arts,79,6505,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4102490,Harney County SD 3,,,583,Mathematics,51,499,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4102490,Harney County SD 3,,,584,Reading/Language Arts,80,497,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4103600,Harney County SD 4,,,583,Mathematics,80-89,40,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4103600,Harney County SD 4,,,584,Reading/Language Arts,GE90,40,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4103630,Harney County Union High SD 1J,,,583,Mathematics,60-79,23,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4103630,Harney County Union High SD 1J,,,584,Reading/Language Arts,GE80,23,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4106120,Harper SD 66,,,583,Mathematics,40-49,34,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4106120,Harper SD 66,,,584,Reading/Language Arts,80-89,34,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4100019,Harrisburg SD 7J,,,583,Mathematics,59,498,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4100019,Harrisburg SD 7J,,,584,Reading/Language Arts,78,500,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4106270,Helix SD 1,,,583,Mathematics,80-84,104,,All Students,All Students,,All Grades,Mathematics,,
2010-2011,OREGON,4106270,Helix SD 1,,,584,Reading/Language Arts,85-89,105,,All Students,All Students,,All Grades,Reading/Language Arts,,
2010-2011,OREGON,4106300,Hermiston SD 8,,,583,Mathematics,62,2678,,All Students,All Students,,All Grades,Mathematics,,
